"Менеджер","Контрагент","Итого","cnt_first","cnt_second"
Белозерский Денис Александрович,ДЕЛЬТА-ИНВЕСТ ООО,716398.48,1,2
Антоненко Ольга Александровна,КлимовичиФарма АО (УКРАИНА),5000.00,0,1
Леонов Евгений Николаевич,ЧечерскСтрой ТОО (БЕЛАРУСЬ),1076245.39,1,4
Грозова Лариса Николаевна,"ООО ""МАРИОН""",799313.83,1,0
Антоненко Ольга Александровна,ХотимскСервис АО (МОЛДОВА),720146.72,4,4
Белозерский Денис Александрович,ОсиповичиСервис ТОО (БЕЛАРУСЬ),494586.52,6,5
Кузьмин Игорь Дмитриевич,ЛунинецМед ТОО (БЕЛАРУСЬ),2132.30,0,1
Антоненко Ольга Александровна,ДубровноКонсалт ТОО (КАЗАХСТАН),1785.17,1,0
Белозерский Денис Александрович,МЮ-ЭЛЕКТРО ООО,54591.06,1,1
Мусина Елена Константиновна,БерезаСервис АО (БЕЛАРУСЬ),114355.44,3,0
Антоненко Ольга Александровна,ХИМ-ПРОМ Екатеринбург ООО,72337.46,2,0
Самбурова Ольга Владиславовна,ИвановоМаш АО (РОССИЯ),48730.32,2,1
Антоненко Ольга Александровна,РостовИнновации АО (ГРУЗИЯ),1254366.68,3,5
Самбурова Ольга Владиславовна,АктауСервис ТОО (АРМЕНИЯ),1282772.64,6,3
Белозерский Денис Александрович,БЕТА-ЭНЕРГО ООО,903482.75,1,0
Белозерский Денис Александрович,КАППА-ПРОД ООО,5275.92,0,1
Антоненко Ольга Александровна,"ООО ""ЭЛИТСТРОЙ""",21372.84,0,1
Махоткина Ирина Юрьевна,ДубровноСервис АО (БЕЛАРУСЬ),15186.00,1,0
Махоткина Ирина Юрьевна,КраснопольеСервис ООО (БЕЛАРУСЬ),171443.96,0,3
Белозерский Денис Александрович,РО-КОМ ООО,59289.38,1,0
Грозова Лариса Николаевна,"ОАО КПП ""АВИАМОТОР""",4443.00,2,0
Самбурова Ольга Владиславовна,КалмыкияИндустрия АО (МОЛДОВА),24728.04,0,2
Лавар Владимир Игоревич,СИГМА-СТРОЙ ООО,17731.45,1,0
Лавар Владимир Игоревич,ИПСИЛОН-ЭЛЕКТРО ООО,15072.44,3,0
Кузьмин Игорь Дмитриевич,РоссоныСтрой ТОО (БЕЛАРУСЬ),6678.78,0,2
Махоткина Ирина Юрьевна,МиорыТрейд АО (БЕЛАРУСЬ),472046.76,6,1
Махоткина Ирина Юрьевна,ХойникиЭкспорт ТОО (БЕЛАРУСЬ),246114.02,3,3
Кузьмин Игорь Дмитриевич,ЛепельСервис ООО (БЕЛАРУСЬ),11489.94,0,1
Грозова Лариса Николаевна,"ООО ""ТиВолга""",5065.38,1,0
Катынкина Елена Александровна,КарачаевоЧеркесияИнновации АО,3937.50,1,0
Махоткина Ирина Юрьевна,ЛунинецСервис АО (БЕЛАРУСЬ),60824.12,1,0
Катынкина Елена Александровна,ИнгушетияМед АО,230.90,0,1
Белозерский Денис Александрович,ФЛОРА-ИНВЕСТ ООО,15735.65,1,0
Белозерский Денис Александрович,КИЕВ-ТОРГ ООО,3726.00,1,0
Белозерский Денис Александрович,ЧечерскСервис ООО (БЕЛАРУСЬ),541600.44,5,5
Самбурова Ольга Владиславовна,ГоркиМаш ООО (ТАДЖИКИСТАН),1296.00,1,0
Белозерский Денис Александрович,КОСМОС-ПРОД ООО,2477674.40,4,0
Рудова Евгения Константиновна,АндромедаПроект ООО (УЗБЕКИСТАН),81337.80,2,1
Рудова Евгения Константиновна,МюИнновации АО (РОССИЯ),20591.42,0,1
Белозерский Денис Александрович,ПРИМОРЬЕ-ИНВЕСТ ООО,99319.24,1,0
Нечесова Наталья Валерьевна,ХИ-ИНЖ ООО,495101.99,5,4
Грозова Лариса Николаевна,НовосибирскИнновации ООО,1866877.13,6,3
Махоткина Ирина Юрьевна,УшачиЭнерго ООО (БЕЛАРУСЬ),94388.94,5,0
Леонов Евгений Николаевич,ИвацевичиЭкспорт АО (БЕЛАРУСЬ),18710.36,2,0
Леонов Евгений Николаевич,МиорыИндустрия ООО (БЕЛАРУСЬ),9520.80,0,1
Грозова Лариса Николаевна,ХаосЭнерго АО,30240.00,0,1
Махоткина Ирина Юрьевна,ТолочинИнвест АО (БЕЛАРУСЬ),91598.69,0,1
Рудова Евгения Константиновна,КрасноярскЛогистика ООО (БЕЛОРУСЬ),121691.52,3,2
Антоненко Ольга Александровна,СлавгородТранс АО (ГРУЗИЯ),1535.81,1,0
Кузьмин Игорь Дмитриевич,ПинскТех ООО (БЕЛАРУСЬ),36047.66,2,3
Лавар Владимир Игоревич,ПИ-СТРОЙ ООО,21239.24,0,3
Грозова Лариса Николаевна,"АО ""АМЗ""",26913.60,0,1
Грозова Лариса Николаевна,"ООО ""АВТО-ГРУПП""",3510.00,1,0
Рудова Евгения Константиновна,ТолочинЛогистика АО (БЕЛАРУСЬ),945835.34,6,4
Белозерский Денис Александрович,МЮ-ТОРГ ООО,69577.67,4,2
Грозова Лариса Николаевна,НюТрейд АО,22515.33,1,2
Самбурова Ольга Владиславовна,ОршаСервис АО (МОЛДОВА),3386.16,1,0
Мусина Елена Константиновна,СтарыеДорогиПроект АО (БЕЛАРУСЬ),12849.19,1,0
Самбурова Ольга Владиславовна,ТываСервис ТОО (АРМЕНИЯ),159500.17,2,0
Рудова Евгения Константиновна,РостовИнновации АО (ГРУЗИЯ),208550.64,2,3
Леонов Евгений Николаевич,ЛяховичиЛогистика ООО (БЕЛАРУСЬ),9720.00,1,0
Кузнецов Евгений Васильевич,ИвацевичиИндустрия АО (БЕЛАРУСЬ),81090.00,1,0
Лавар Владимир Игоревич,ДубровноМаш АО (РОССИЯ),32996.16,1,0
Махоткина Ирина Юрьевна,СтолинСервис АО (БЕЛАРУСЬ),82186.01,1,0
Кузьмин Игорь Дмитриевич,УшачиСервис ООО (БЕЛАРУСЬ),36845.89,1,0
Кузьмин Игорь Дмитриевич,ЛунинецКом АО (БЕЛАРУСЬ),2649.60,0,1
Любецкая Юлия Михайловна,ПИ-МАШ ООО,41120.04,2,1
Самбурова Ольга Владиславовна,КлимовичиКонсалт ТОО (КАЗАХСТАН),18901.32,2,1
Антоненко Ольга Александровна,ГоркиКом АО (РОССИЯ),33267.02,0,1
Самбурова Ольга Владиславовна,СтолбцыТех АО (РОССИЯ),103598.23,6,0
Белозерский Денис Александрович,ИПСИЛОН-СТРОЙ ООО,35383.78,0,1
Махоткина Ирина Юрьевна,БыховФарма ООО (БЕЛАРУСЬ),39469.93,0,1
Нечесова Наталья Валерьевна,ЛАМБДА-КОМ ООО,527780.61,4,4
Антоненко Ольга Александровна,ФиФарма ОАО,10035.00,1,0
Рудова Евгения Константиновна,НовосибирскФарма АО (РОССИЯ),27216.00,0,1
Грозова Лариса Николаевна,ШтормФарма АО,4161.60,0,1
Белозерский Денис Александрович,БетаИнвест ТОО (АРМЕНИЯ),31550.62,3,0
Белозерский Денис Александрович,ЕЛЕКТРО-ИНЖ ООО,885700.99,6,5
Рудова Евгения Константиновна,ТауСервис ООО (АЗЕРБАЙДЖАН),48668.24,1,2
Катынкина Елена Александровна,РудныйСтрой АО (КАЗАХСТАН),22831.20,0,1
Грозова Лариса Николаевна,"ООО ""ТПФ ""МашТрейд"", г. Череповец",70300.51,1,1
Грозова Лариса Николаевна,"АО КБ ""АССОЦИАЦИЯ""",338183.57,1,1
Кузьмин Игорь Дмитриевич,ДубровноКом АО (БЕЛАРУСЬ),282801.66,0,1
Кузьмин Игорь Дмитриевич,ЧашникиМед ООО (БЕЛАРУСЬ),134913.60,1,0
Рудова Евгения Константиновна,ХотимскИндустрия АО (БЕЛАРУСЬ),40320.00,1,0
Антоненко Ольга Александровна,ВерхнедвинскФинанс ТОО (АРМЕНИЯ),1300.00,0,1
Лавар Владимир Игоревич,КостюковичиСервис ООО (БЕЛАРУСЬ),273499.81,6,3
Антоненко Ольга Александровна,КурскФинанс ООО,488108.14,6,5
Самбурова Ольга Владиславовна,БыховТранс ООО (АЗЕРБАЙДЖАН),51118.95,2,0
Самбурова Ольга Владиславовна,КомиМед АО (УКРАИНА),34292.06,1,0
Лавар Владимир Игоревич,ЛАМБДА-СТРОЙ ООО,213156.13,4,2
Самбурова Ольга Владиславовна,КраснопольеФарма ООО (УЗБЕКИСТАН),11314.99,1,1
Самбурова Ольга Владиславовна,ПружаныМед АО (УКРАИНА),15060.42,0,1
Катынкина Елена Александровна,ЯкутскЭнерго ТОО,6004.80,0,1
Грозова Лариса Николаевна,"ОАО ""АК ""АСТРАХАНСКИЕ АВИАЛИНИИ""",734715.06,2,3
Самбурова Ольга Владиславовна,ИвановоФинанс ООО (БЕЛОРУСЬ),14980.56,1,0
Белозерский Денис Александрович,ТаразТранс ООО (АЗЕРБАЙДЖАН),794966.79,5,4
Лавар Владимир Игоревич,УдмуртияИндустрия ООО,318377.63,3,2
Белозерский Денис Александрович,ЙОТА-МАШ ООО,39256.21,0,1
Самбурова Ольга Владиславовна,ЕльскПроект ТОО (КИРГИЗИЯ),80170.56,0,1
Белозерский Денис Александрович,УФА-СТРОЙ ООО,416522.13,2,1
Грозова Лариса Николаевна,АльфаСтрой ООО,246915.04,3,0
Белозерский Денис Александрович,ПИ-МАШ ООО,206240.01,2,2
Махоткина Ирина Юрьевна,МикашевичиЛогистика АО (БЕЛАРУСЬ),6137.35,1,2
Рудова Евгения Константиновна,ГоркиИнвест АО (БЕЛАРУСЬ),6131.16,1,0
Леонов Евгений Николаевич,ЧашникиСервис ООО (БЕЛАРУСЬ),212253.62,3,3
Катынкина Елена Александровна,ПинскСервис ООО (БЕЛАРУСЬ),3780.00,0,1
Катынкина Елена Александровна,ДнепрМед ТОО,30888.00,1,0
Катынкина Елена Александровна,ОсиповичиСервис ТОО (БЕЛАРУСЬ),2649.60,0,1
Мусина Елена Константиновна,ИвацевичиИнвест АО (БЕЛАРУСЬ),5324.40,1,0
Рудова Евгения Константиновна,КричевМед ООО (БЕЛАРУСЬ),439538.40,1,0
Махоткина Ирина Юрьевна,ЛюбаньЭкспорт ТОО (БЕЛАРУСЬ),5277774.76,5,4
Белозерский Денис Александрович,ТЕХНО-ТОРГ ООО,10454.18,1,0
Самбурова Ольга Владиславовна,ТолочинКом ООО (ТАДЖИКИСТАН),28306.50,2,1
Нечесова Наталья Валерьевна,ТЕТА-ПЛЮС ООО,1832194.80,4,3
Самбурова Ольга Владиславовна,ЧаусыСервис ТОО (АРМЕНИЯ),360322.79,1,1
Белозерский Денис Александрович,ИПСИЛОН-ТОРГ ООО,825575.41,5,5
Рудова Евгения Константиновна,ЛипецкФарма ТОО (КИРГИЗИЯ),132408.00,2,3
Грозова Лариса Николаевна,СигмаСтроительство ТОО,3762.62,0,1
Мусина Елена Константиновна,КобринКом ТОО (БЕЛАРУСЬ),44442.00,1,0
Самбурова Ольга Владиславовна,ТуркестанФарма ООО (УЗБЕКИСТАН),262719.20,4,2
Рудова Евгения Константиновна,АльфаСтрой ООО (УЗБЕКИСТАН),7680.45,1,0
Белозерский Денис Александрович,ГОРИЗОНТ-ТОРГ ООО,27749.29,0,1
Белозерский Денис Александрович,ЭТА-ЭЛЕКТРО ООО,114345.57,2,1
Белозерский Денис Александрович,АЛЬФА-СТРОЙ ООО,23634.20,1,0
Нечесова Наталья Валерьевна,НЮ-ЭНЕРГО ООО,1386441.76,4,3
Грозова Лариса Николаевна,ООО Инженерная компания «555»,10241.28,0,1
Антоненко Ольга Александровна,КраснопольеПроект ТОО (КИРГИЗИЯ),5524.98,0,1
Кузьмин Игорь Дмитриевич,ЧериковИнвест ООО (БЕЛАРУСЬ),884.95,1,0
Рудова Евгения Константиновна,ГорноалтайскЭкспорт ТОО (КИРГИЗИЯ),58740.48,2,2
Белозерский Денис Александрович,ТАЙГА-ПРОМ ООО,78.74,1,0
Грозова Лариса Николаевна,ООО Престорусь             ИНН7733851742,11605.43,1,0
Белозерский Денис Александрович,БИО-КОМ ООО,122145.19,0,3
Белозерский Денис Александрович,ВоронежСтрой ООО,2883870.48,1,0
Махоткина Ирина Юрьевна,ЧаусыСервис АО (БЕЛАРУСЬ),28866.37,0,3
Антоненко Ольга Александровна,НовополоцкФарма АО (УКРАИНА),27500.00,1,0
Самбурова Ольга Владиславовна,НаровляИндустрия ООО (БЕЛОРУСЬ),2570.40,1,0
Кузьмин Игорь Дмитриевич,КобринФарма ООО (БЕЛАРУСЬ),159049.10,2,3
Грозова Лариса Николаевна,ХантыМансийскИндустрия ООО,159431.79,2,0
Кузьмин Игорь Дмитриевич,ДубровноИндустрия АО (БЕЛАРУСЬ),102884.40,0,1
Самбурова Ольга Владиславовна,ЛьвовЭкспорт ООО (УЗБЕКИСТАН),45734.40,3,1
Антоненко Ольга Александровна,СтарыеДорогиФинанс ТОО (АРМЕНИЯ),28232.52,1,1
Кузьмин Игорь Дмитриевич,БыховЛогистика ООО (БЕЛАРУСЬ),16753.82,0,1
Грозова Лариса Николаевна,ЕкатеринбургТранс ОАО,642945.06,2,1
Белозерский Денис Александрович,НЮ-ПРОД ООО,26963.46,2,0
Самбурова Ольга Владиславовна,ДубровноМаш АО (РОССИЯ),3763.19,0,1
Самбурова Ольга Владиславовна,КрымТех АО (РОССИЯ),10059.72,1,1
Кузьмин Игорь Дмитриевич,КурскФинанс ООО,36149.78,2,3
Махоткина Ирина Юрьевна,ДрогичинТрейд ООО (БЕЛАРУСЬ),9360.22,1,0
Леонов Евгений Николаевич,МстиславльФарма ООО (БЕЛАРУСЬ),191762.04,2,3
Мусина Елена Константиновна,ЕльскКом АО (БЕЛАРУСЬ),202569.43,2,0
Рудова Евгения Константиновна,ЧувашияМаш ТОО (ТУРКМЕНИСТАН),2685.48,1,0
Антоненко Ольга Александровна,ЧаусыФинанс АО (МОЛДОВА),288261.98,4,3
Самбурова Ольга Владиславовна,ПинскИнновации ООО (АЗЕРБАЙДЖАН),18915.27,2,1
Антоненко Ольга Александровна,КричевМаш АО (РОССИЯ),7255.92,1,0
Самбурова Ольга Владиславовна,ЧаусыЭнерго ООО (ТАДЖИКИСТАН),43263.36,1,0
Мусина Елена Константиновна,СлуцкИнвест АО (БЕЛАРУСЬ),1082.83,1,0
Белозерский Денис Александрович,ЗАВОД-МАШ ООО,341211.12,5,5
Антоненко Ольга Александровна,ЛунинецКом ТОО (ТУРКМЕНИСТАН),15272.47,1,0
Катынкина Елена Александровна,КалинковичиИнвест АО (БЕЛАРУСЬ),15825.60,0,1
Самбурова Ольга Владиславовна,ИвацевичиКом ООО (ТАДЖИКИСТАН),782240.09,4,3
Леонов Евгений Николаевич,КлимовичиЭнерго ТОО (БЕЛАРУСЬ),47543.87,2,0
Рудова Евгения Константиновна,ЦимлянскСтроительство ТОО (ТУРКМЕНИСТАН),240028.84,0,2
Лавар Владимир Игоревич,КАППА-ЭНЕРГО ООО,125277.25,1,3
Катынкина Елена Александровна,МарьинаГоркаТрейд АО (БЕЛАРУСЬ),10215.80,1,0
Грозова Лариса Николаевна,СеверСервис ООО,13142.16,2,2
Самбурова Ольга Владиславовна,ТуровИнновации АО (ГРУЗИЯ),115715.11,2,1
Грозова Лариса Николаевна,ОрелТех АО,13535.31,0,1
Грозова Лариса Николаевна,Елецгидроагрегат АО,498764.95,1,0
Нечесова Наталья Валерьевна,ДЕЛЬТА-ИНВЕСТ ООО,1929397.50,6,5
Антоненко Ольга Александровна,КлимовичиТрейд ООО (АЗЕРБАЙДЖАН),141978.05,1,0
Самбурова Ольга Владиславовна,КарелияЭнерго ТОО (ТУРКМЕНИСТАН),231120.00,0,1
Мусина Елена Константиновна,ОктябрьскийТех ООО (БЕЛАРУСЬ),26723.52,1,0
Леонов Евгений Николаевич,НаровляЭкспорт ТОО (БЕЛАРУСЬ),61188.76,2,1
Кузьмин Игорь Дмитриевич,КлимовичиКом АО (БЕЛАРУСЬ),7727.28,0,1
Грозова Лариса Николаевна,МарсИнновации ООО,281350.39,2,1
Белозерский Денис Александрович,АВАНГАРД-ИНЖ ООО,6945.20,1,0
Антоненко Ольга Александровна,ШкловМаш АО (РОССИЯ),11600.00,0,1
Махоткина Ирина Юрьевна,ОршаИнвест АО (БЕЛАРУСЬ),8462.29,0,1
Лавар Владимир Игоревич,ТАУ-ТОРГ ООО,250633.38,2,1
Самбурова Ольга Владиславовна,ТаразТранс ООО (АЗЕРБАЙДЖАН),57708.48,1,1
Леонов Евгений Николаевич,КобринЭнерго ТОО (БЕЛАРУСЬ),467655.88,0,1
Белозерский Денис Александрович,СИГМА-МАШ ООО,1134361.68,3,2
Антоненко Ольга Александровна,КраснопольеИнновации ООО (АЗЕРБАЙДЖАН),2760.00,1,1
Самбурова Ольга Владиславовна,ВитебскЛогистика ТОО (АРМЕНИЯ),2108.87,1,0
Нечесова Наталья Валерьевна,"ОАО ""ДАЛ""",2915558.62,6,3
Антоненко Ольга Александровна,БорисовКонсалт ТОО (КАЗАХСТАН),123384.74,2,1
Самбурова Ольга Владиславовна,КопыльФинанс ТОО (АРМЕНИЯ),1728.00,1,0
Самбурова Ольга Владиславовна,МстиславльМед АО (УКРАИНА),36288.00,2,0
Антоненко Ольга Александровна,ОктябрьскийПроект ООО (УЗБЕКИСТАН),363420.47,6,5
Мусина Елена Константиновна,НесвижТрейд АО (БЕЛАРУСЬ),26407.80,1,0
Катынкина Елена Александровна,МогилевЛогистика ООО (БЕЛАРУСЬ),33400.08,1,0
Самбурова Ольга Владиславовна,ОдессаИндустрия ТОО (АРМЕНИЯ),7709.18,1,0
Нечесова Наталья Валерьевна,ПСИ-СТРОЙ ООО,5292876.90,5,4
Грозова Лариса Николаевна,"ООО ""Росснабтехнологии""",101140.01,1,1
Рудова Евгения Константиновна,ЧечерскИндустрия ООО (БЕЛАРУСЬ),87851.53,0,1
Лавар Владимир Игоревич,СИГМА-ЭЛЕКТРО ООО,29886.62,3,0
Самбурова Ольга Владиславовна,КрымКонсалт АО (ГРУЗИЯ),6199.20,0,1
Самбурова Ольга Владиславовна,НесвижТранс ТОО (КАЗАХСТАН),48518.52,2,0
Грозова Лариса Николаевна,ЗабайкальеЛогистика ООО,3660.60,0,1
Белозерский Денис Александрович,НесвижФарма АО (УКРАИНА),50974.09,2,2
Катынкина Елена Александровна,БалхашСервис ТОО (КАЗАХСТАН),300076.92,2,0
Кузьмин Игорь Дмитриевич,ОктябрьскийТрейд АО (БЕЛАРУСЬ),49020.48,1,0
Самбурова Ольга Владиславовна,СенненскийТрейд АО (ГРУЗИЯ),770897.92,3,0
Белозерский Денис Александрович,ОМИКРОН-ПРОД ООО,67703.38,1,3
Антоненко Ольга Александровна,БобруйскКом ТОО (ТУРКМЕНИСТАН),151557.43,4,0
Кузнецов Евгений Васильевич,ПружаныФарма ООО (БЕЛАРУСЬ),15676808.36,1,2
Грозова Лариса Николаевна,НептунПроект ОАО,18184.80,0,1
Самбурова Ольга Владиславовна,НенецкийАОТранс ТОО (КАЗАХСТАН),35123.95,0,1
Рудова Евгения Константиновна,КаппаКом ООО (БЕЛОРУСЬ),169140.00,1,0
Грозова Лариса Николаевна,ЭпсилонМаш ОАО,146904.45,2,3
Рудова Евгения Константиновна,НесвижЭкспорт ТОО (БЕЛАРУСЬ),93387.60,1,0
Белозерский Денис Александрович,ЭХО-ПЛЮС ООО,7328.38,0,1
Белозерский Денис Александрович,ЛАМБДА-ИНВЕСТ ООО,18335.65,1,0
Махоткина Ирина Юрьевна,ЖодиноСервис ООО (БЕЛАРУСЬ),21721.44,0,1
Леонов Евгений Николаевич,ПружаныТрейд ООО (БЕЛАРУСЬ),248810.04,5,5
Нечесова Наталья Валерьевна,РО-ЭЛЕКТРО ООО,294495.84,3,3
Лавар Владимир Игоревич,СлуцкТрейд АО (ГРУЗИЯ),11754.84,1,0
Грозова Лариса Николаевна,"АО ""АВТОШИНА""",243369.36,2,1
Леонов Евгений Николаевич,БрагинИндустрия ООО (БЕЛАРУСЬ),557071.20,2,1
Рудова Евгения Константиновна,ЧаусыСтрой АО (БЕЛАРУСЬ),28018.65,1,1
Белозерский Денис Александрович,МЮ-ЭНЕРГО ООО,337894.19,0,2
Леонов Евгений Николаевич,ЛюбаньИндустрия ООО (БЕЛАРУСЬ),4474605.74,6,4
Рудова Евгения Константиновна,ХаосКонсалт АО (УКРАИНА),471709.80,3,1
Рудова Евгения Константиновна,КурскМаш ООО (ТАДЖИКИСТАН),385887.49,1,0
Рудова Евгения Константиновна,СаратовТех ООО (ТАДЖИКИСТАН),5999.32,0,1
Кузьмин Игорь Дмитриевич,КричевИндустрия АО (БЕЛАРУСЬ),11658.24,2,0
Рудова Евгения Константиновна,ЕнисейКом АО (УКРАИНА),25898.74,1,2
Рудова Евгения Константиновна,КопыльТрейд АО (БЕЛАРУСЬ),78795.00,0,1
Грозова Лариса Николаевна,Архангельский гидролизный завод,8864.28,1,0
Кузьмин Игорь Дмитриевич,КопыльЛогистика АО (БЕЛАРУСЬ),24882.40,1,0
Грозова Лариса Николаевна,"КБ ""АРСЕНАЛ"" ООО",79740.10,1,2
Кузьмин Игорь Дмитриевич,НаровляТрейд АО (БЕЛАРУСЬ),18792.00,0,1
Рудова Евгения Константиновна,ГалактикаФинанс ООО (ТАДЖИКИСТАН),239950.87,0,2
Самбурова Ольга Владиславовна,КлимовичФинанс ТОО (АРМЕНИЯ),462810.19,1,1
Мусина Елена Константиновна,ЛяховичиФарма ООО (БЕЛАРУСЬ),28577.54,2,0
Катынкина Елена Александровна,НенецкийАОСервис ООО,103430.22,1,2
Кузьмин Игорь Дмитриевич,ГанцевичиИнвест ООО (БЕЛАРУСЬ),107098.20,0,2
Катынкина Елена Александровна,ЛьвовКом АО,3330.00,0,1
Грозова Лариса Николаевна,"ОАО ""АЛТТРАК""",897358.52,3,2
Самбурова Ольга Владиславовна,МикашевичиЭкспорт ТОО (КИРГИЗИЯ),190746.00,1,0
Катынкина Елена Александровна,ГомельИнвест ТОО (БЕЛАРУСЬ),80190.00,1,0
Белозерский Денис Александрович,ГоркиКом ТОО (БЕЛАРУСЬ),5468.48,0,1
Катынкина Елена Александровна,ЖезказганЛогистика ООО (КАЗАХСТАН),1225.72,0,1
Белозерский Денис Александрович,БЕТА-СТРОЙ ООО,113413.78,5,2
Белозерский Денис Александрович,ЙОТА-ИНВЕСТ ООО,31227.50,1,0
Самбурова Ольга Владиславовна,КричевТранс АО (ГРУЗИЯ),25514.41,0,1
Грозова Лариса Николаевна,МурманскЭнерго ООО,41662.75,1,0
Катынкина Елена Александровна,ТалдыкорганФарма ООО (КАЗАХСТАН),197242.24,1,1
Грозова Лариса Николаевна,"ООО ""КНАУФ ГИПС ДЗЕРЖИНСК""",66302.82,2,0
Белозерский Денис Александрович,ПИ-ТОРГ ООО,961.02,1,0
Антоненко Ольга Александровна,НовополоцкТранс ТОО (КАЗАХСТАН),7576.63,0,1
Махоткина Ирина Юрьевна,КлимовичиФарма ООО (БЕЛАРУСЬ),528373.80,5,3
Грозова Лариса Николаевна,ЯрославльПром ООО,1260455.37,5,1
Белозерский Денис Александрович,ХИ-ИНЖ ООО,752236.76,3,3
Антоненко Ольга Александровна,ОсиповичиИнновации ТОО (КАЗАХСТАН),17967.85,3,0
Самбурова Ольга Владиславовна,МиорыФарма АО (УКРАИНА),3498.12,1,0
Рудова Евгения Константиновна,ТетаСервис ТОО (ТУРКМЕНИСТАН),2949493.78,2,1
Махоткина Ирина Юрьевна,ЛяховичиЭнерго ТОО (БЕЛАРУСЬ),1982483.39,5,5
Катынкина Елена Александровна,КызылордаИнвест АО (КАЗАХСТАН),66064.90,1,2
Любецкая Юлия Михайловна,ЛАМБДА-ЭНЕРГО ООО,61695.08,1,0
Антоненко Ольга Александровна,МогилевФарма АО (УКРАИНА),897974.99,6,5
Грозова Лариса Николаевна,ЛипецкПроект ТОО,72813.68,2,1
Рудова Евгения Константиновна,ЕнисейСервис АО (МОЛДОВА),75071.40,1,1
Мусина Елена Константиновна,КостюковичиЭнерго ООО (БЕЛАРУСЬ),29822.52,1,0
Самбурова Ольга Владиславовна,КызылордаКом ТОО (ТУРКМЕНИСТАН),5694.70,2,0
Рудова Евгения Константиновна,ПсковФинанс ООО (БЕЛОРУСЬ),426513.60,1,1
Грозова Лариса Николаевна,"ООО ""КРАН СТАНАРТ""",31810.00,1,0
Антоненко Ольга Александровна,МстиславльЭкспорт АО (БЕЛАРУСЬ),115208.28,3,1
Грозова Лариса Николаевна,"ООО ""Атлантис""",75211.20,2,1
Белозерский Денис Александрович,ЭПСИЛОН-ТОРГ ООО,363142.90,5,3
Самбурова Ольга Владиславовна,СенненскийМед ООО (УЗБЕКИСТАН),31348.80,2,1
Кузьмин Игорь Дмитриевич,ВеткаСтрой ТОО (БЕЛАРУСЬ),44777.69,1,1
Белозерский Денис Александрович,ЭПСИЛОН-ИНВЕСТ ООО,837881.60,3,1
Самбурова Ольга Владиславовна,КопыльЭнерго АО (РОССИЯ),3240.00,1,0
Грозова Лариса Николаевна,ЖигулиФинанс ООО,69646.96,1,2
Самбурова Ольга Владиславовна,СтолинТранс АО (ГРУЗИЯ),4104.00,0,1
Кузьмин Игорь Дмитриевич,ГлубокоеИндустрия ООО (БЕЛАРУСЬ),531440.91,2,3
Катынкина Елена Александровна,УдмуртияИндустрия ООО,28080.00,1,0
Грозова Лариса Николаевна,ИвановоТранс ОАО,163453.00,3,3
Махоткина Ирина Юрьевна,ПолоцкТех ООО (БЕЛАРУСЬ),47290.08,1,0
Лапаткова Мария Александровна,ГлускИнновации ООО (БЕЛАРУСЬ),56866.68,0,1
Антоненко Ольга Александровна,ЛуганскСервис ООО (БЕЛОРУСЬ),12441.68,1,0
Самбурова Ольга Владиславовна,ГлубокоеКонсалт ООО (АЗЕРБАЙДЖАН),344375.64,1,2
Кузьмин Игорь Дмитриевич,СтолинКом АО (БЕЛАРУСЬ),45549.41,1,1
Лавар Владимир Игоревич,ПСИ-ИНЖ ООО,137575.95,5,1
Самбурова Ольга Владиславовна,БорисовТрейд АО (ГРУЗИЯ),130164.92,1,1
Самбурова Ольга Владиславовна,УшачиИндустрия ООО (БЕЛОРУСЬ),59683.68,1,0
Лавар Владимир Игоревич,МЮ-ПРОД ООО,400898.59,4,3
Антоненко Ольга Александровна,КлимовичиМед ТОО (КИРГИЗИЯ),4563.11,1,0
Кузьмин Игорь Дмитриевич,КомаринЭнерго ООО (БЕЛАРУСЬ),88201.58,1,1
Махоткина Ирина Юрьевна,ЛепельЭнерго ООО (БЕЛАРУСЬ),162581.09,0,2
Рудова Евгения Константиновна,УралЛогистика ТОО (КИРГИЗИЯ),77213.93,1,1
Белозерский Денис Александрович,ХАБАРОВСК-СТРОЙ ООО,10364.40,1,0
Леонов Евгений Николаевич,КлимовичЛогистика АО (БЕЛАРУСЬ),450526.12,2,4
Кузьмин Игорь Дмитриевич,КричевФарма ООО (БЕЛАРУСЬ),1631.83,0,2
Рудова Евгения Константиновна,ЧелябинскКом ТОО (ТУРКМЕНИСТАН),942.48,0,1
Кузьмин Игорь Дмитриевич,КостюковичиСервис АО (БЕЛАРУСЬ),89376.14,1,2
Грозова Лариса Николаевна,ЮграКом ОАО,35822.74,1,0
Кузьмин Игорь Дмитриевич,КостюковичиИнвест АО (БЕЛАРУСЬ),2106.00,1,0
Леонов Евгений Николаевич,КобринИндустрия АО (БЕЛАРУСЬ),1172725.70,4,4
Рудова Евгения Константиновна,ПлутонТех АО (ГРУЗИЯ),3542.40,1,0
Самбурова Ольга Владиславовна,ОсиповичиТранс АО (ГРУЗИЯ),37911.78,2,2
Самбурова Ольга Владиславовна,ГоркиИндустрия АО (МОЛДОВА),22744.80,1,0
Кузьмин Игорь Дмитриевич,ЛяховичиИнвест ООО (БЕЛАРУСЬ),3120.68,1,0
